Subject Number,Stimulus Feature,Congruency,Key Press,Reaction Time,Accuracy
1,1,1,1,0.75149,1
1,4,1,2,0.53543,1
1,4,1,2,0.48231,1
1,2,1,1,0.96506,0
1,2,1,2,0.6241,1
1,4,1,2,0.54077,1
1,4,1,2,0.46968,1
1,2,1,1,0.6895,0
1,4,1,2,0.62444,1
1,2,1,2,0.4121,1
1,3,1,1,0.53708,1
1,1,1,1,1.394,1
1,1,1,1,0.45086,1
1,3,1,2,0.46178,0
1,3,1,1,0.52944,1
1,2,1,2,0.55026,1
1,4,1,2,0.50214,1
1,2,1,2,0.51708,1
1,1,1,1,0.53889,1
1,3,1,1,0.52674,1
1,4,1,2,0.58275,1
1,1,1,1,0.6056,1
1,4,1,2,0.62126,1
1,4,1,2,0.52232,1
1,1,1,1,0.62215,1
1,3,1,1,0.7,1
1,3,1,1,0.51992,1
1,3,1,1,0.48075,1
1,2,1,2,0.51766,1
1,4,1,1,0.49747,0
1,2,1,2,0.52034,1
1,1,1,1,0.59723,1
1,3,1,1,0.50291,1
1,3,1,1,0.50498,1
1,3,1,1,0.46876,1
1,3,1,1,0.52053,1
1,2,1,2,0.67047,1
1,4,1,2,0.44848,1
1,1,1,1,0.56731,1
1,4,1,2,0.51093,1
1,2,1,2,1.3081,1
1,3,1,2,0.53263,0
1,1,1,1,0.51267,1
1,1,1,1,0.43062,1
1,1,1,1,0.48039,1
1,3,1,1,0.60825,1
1,1,1,1,0.42611,1
1,3,1,1,0.47036,1
1,1,1,1,0.44779,1
1,2,1,2,0.72577,1
1,4,1,2,0.66756,1
1,2,1,2,0.46533,1
1,3,1,1,0.56536,1
1,4,1,1,0.5152,0
1,1,1,1,0.60296,1
1,2,1,2,0.65381,1
1,4,1,2,0.64866,1
1,1,1,1,0.59863,1
1,1,1,1,0.49049,1
1,1,1,1,0.44719,1
1,3,1,1,0.60133,1
1,2,1,2,0.59401,1
1,3,1,1,0.65787,1
1,2,1,2,0.54686,1
1,4,1,2,0.59476,1
1,3,1,1,0.55862,1
1,4,1,2,0.52052,1
1,3,1,1,0.47532,1
1,3,1,1,0.46028,1
1,2,1,1,0.53296,0
1,3,1,1,0.46901,1
1,2,1,2,0.46082,1
1,1,1,1,0.5357,1
1,4,1,2,0.54354,1
1,2,1,2,0.95515,1
1,4,1,2,0.54513,1
1,4,1,2,0.44976,1
1,1,1,1,0.54604,1
1,4,1,2,0.47975,1
1,4,1,2,0.5437,1
1,4,1,2,0.49864,1
1,4,1,2,0.42748,1
1,1,1,1,0.52912,1
1,4,1,2,0.51214,1
1,4,1,1,0.55808,0
1,3,1,1,0.54679,1
1,3,1,1,0.48897,1
1,4,1,2,0.59566,1
1,4,1,2,0.52142,1
1,3,1,1,0.54131,1
1,3,1,1,0.59912,1
1,4,1,2,0.52712,1
1,1,1,1,0.63403,1
1,2,1,2,0.64679,1
1,3,1,1,0.52271,1
1,4,2,2,0.55954,1
1,3,2,1,0.63846,1
1,1,2,1,0.58307,0
1,2,2,1,1.58,1
1,3,2,1,0.64678,1
1,3,2,1,0.47088,1
1,2,2,1,0.51662,1
1,3,2,1,0.46964,1
1,4,2,2,0.51426,1
1,3,2,1,0.49619,1
1,3,2,1,0.44579,1
1,2,2,1,0.79994,1
1,2,2,1,0.48981,1
1,4,2,2,0.50157,1
1,1,2,2,0.63948,1
1,3,2,1,0.48352,1
1,1,2,1,0.41911,0
1,3,2,1,0.66799,1
1,2,2,2,0.51683,0
1,1,2,2,1.0869,1
1,1,2,2,0.65162,1
1,4,2,2,0.5955,1
1,1,2,2,0.48534,1
1,1,2,2,0.47719,1
1,4,2,2,0.59904,1
1,4,2,2,0.48701,1
1,4,2,2,0.465,1
1,4,2,2,0.46497,1
1,1,2,2,0.66855,1
1,1,2,2,0.42833,1
1,3,2,2,0.51432,0
1,3,2,1,0.66515,1
1,4,2,2,0.68892,1
1,2,2,1,0.51486,1
1,1,2,2,0.67481,1
1,1,2,2,0.39963,1
1,4,2,2,0.7105,1
1,3,2,1,0.66022,1
1,4,2,2,0.61301,1
1,2,2,2,0.61779,0
1,1,2,2,0.73057,1
1,4,2,2,0.73068,1
1,3,2,1,0.5723,1
1,2,2,1,1.1012,1
1,4,2,2,0.61008,1
1,4,2,2,0.72391,1
1,3,2,1,0.5279,1
1,2,2,1,1.3886,1
1,1,2,2,0.67159,1
1,2,2,1,1.1112,1
1,4,2,2,0.63101,1
1,4,2,2,0.47141,1
1,3,2,1,0.52983,1
1,2,2,2,1.0887,0
1,1,2,1,0.76765,0
1,1,2,2,1.5375,1
1,3,2,1,0.79024,1
1,3,2,1,0.52024,1
1,3,2,1,0.45556,1
1,2,2,2,0.58377,0
1,4,2,2,0.6236,1
1,4,2,2,0.49858,1
1,1,2,2,0.82633,1
